"","ID","i","index","Group"
"583","OE1",3300,200.989258425307,"OE"
"584","OE2",3300,103.763696998571,"OE"
"585","OE3",3300,92.9672693745838,"OE"
"586","OE4",3300,114.914631829981,"OE"
"587","OE5",3300,141.413879077498,"OE"
"588","OE6",3300,192.077042472132,"OE"
"589","WT1",3300,87.8480849278823,"WT"
"590","WT2",3300,67.544099039869,"WT"
"591","WT3",3300,133.76406426571,"WT"
"592","WT4",3300,114.660545822102,"WT"
"593","WT5",3300,81.2771483587837,"WT"
"594","WT6",3300,122.274370663134,"WT"
"595","KO1",3400,102.300884955752,"KO"
"596","KO2",3400,107.757415313485,"KO"
"597","KO3",3400,83.7523365163085,"KO"
"598","KO4",3400,84.7407928688717,"KO"
"599","KO5",3400,62.919097796743,"KO"
"600","KO6",3400,112.44042408326,"KO"
"601","OE1",3400,178.318010736102,"OE"
"602","OE2",3400,107.815706024995,"OE"
"603","OE3",3400,90.0395675608312,"OE"
"604","OE4",3400,122.535509857961,"OE"
"605","OE5",3400,134.813639968279,"OE"
"606","OE6",3400,198.026586268329,"OE"
"607","WT1",3400,88.4211170432468,"WT"
"608","WT2",3400,73.2591447184973,"WT"
"609","WT3",3400,117.467737018596,"WT"
"610","WT4",3400,108.243754447732,"WT"
"611","WT5",3400,84.852755512493,"WT"
"612","WT6",3400,114.990550084552,"WT"
"613","KO1",3500,102.768456375839,"KO"
"614","KO2",3500,102.742598339344,"KO"
"615","KO3",3500,81.6525135643155,"KO"
"616","KO4",3500,92.7201441135954,"KO"
"617","KO5",3500,68.3242977935435,"KO"
"618","KO6",3500,109.511889862328,"KO"
"619","OE1",3500,170.394480609804,"OE"
"620","OE2",3500,106.042243767313,"OE"
"621","OE3",3500,96.4506172839506,"OE"
"622","OE4",3500,128.749500767242,"OE"
"623","OE5",3500,135.021934175429,"OE"
"624","OE6",3500,164.509024495058,"OE"
"625","WT1",3500,84.7246621387963,"WT"
"626","WT2",3500,68.812492978317,"WT"
"627","WT3",3500,116.338702324875,"WT"
