OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1277	1.797	7.539	0.00216636249107301	0.0721480976457354	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.02	0.006	0.012	0.014	0.018	0.016	0.016	0.044	0.005	0.005	0.006	0.011	0.005	0.003
ASV_1481	5.786	7.159	0.00223056242613785	0.0729002120144589	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Brevibacillus	Unassigned	0.016	0	0	0	0.093	0	0	0	0	0	0	0	0	0
ASV_41	1.192	12.395	0.00224436228550786	0.0729002120144589	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.707	0.329	0.722	0.414	0.423	0.872	0.774	1.036	0.308	0.383	0.216	0.352	0.393	0.322
ASV_652	2.312	8.941	0.00228966529387191	0.0734647486363049	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.072	0.015	0.027	0.031	0.018	0.22	0.003	0.131	0.014	0.018	0.03	0.008	0.011	0.008
ASV_681	1.378	8.29	0.0024082929678194	0.0763399855220823	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.036	0.015	0.04	0.025	0.034	0.04	0.026	0.055	0.014	0.008	0.017	0.022	0.008	0.022
ASV_469	-1.734	7.897	0.00251468217396111	0.07806885859961	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Ohtaekwangia_koreensis	0.009	0.03	0.027	0.008	0.005	0.003	0.003	0.005	0.038	0.016	0.05	0.033	0.016	0.027
ASV_2547	4.645	6.566	0.00252217901215008	0.07806885859961	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.008	0	0.003	0.003	0	0	0	0.044	0	0	0	0	0	0
ASV_1907	-2.439	7.596	0.00259626635853639	0.0794276370849912	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.004	0.025	0.021	0.006	0	0	0	0	0.043	0.013	0.05	0.011	0.014	0.019
ASV_970	-2.122	7.075	0.00263878365051492	0.0798004572931582	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	Unassigned	0.003	0.014	0.009	0.003	0.003	0	0	0.003	0.014	0.026	0.014	0.006	0.005	0.016
ASV_1135	-2.591	7.018	0.00271486376809094	0.0798637442082642	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned	0.002	0.014	0.006	0	0	0	0.003	0.003	0.005	0.003	0.008	0.006	0.035	0.025
ASV_120	1.148	10.65	0.00272073436803833	0.0798637442082642	Enriched	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	Aeromicrobium_ginsengisoli	0.205	0.1	0.14	0.227	0.273	0.207	0.15	0.235	0.07	0.077	0.139	0.149	0.097	0.068
ASV_2253	-2.314	6.674	0.0027498133410425	0.0798637442082642	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.009	0	0.006	0	0.003	0	0	0.008	0.005	0.017	0.011	0.003	0.008
ASV_1289	-2.017	6.883	0.00281117902933614	0.0798637442082642	Depleted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Unassigned	Unassigned	Unassigned	0.002	0.011	0.003	0.003	0	0.005	0	0.003	0.011	0.005	0.008	0.006	0.016	0.019
ASV_2560	5.008	6.716	0.0028451473798206	0.0798637442082642	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.009	0	0	0	0.049	0	0	0.005	0	0	0	0	0	0
ASV_251	1.182	9.722	0.00286206286841891	0.0798637442082642	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_namucuonensis	0.106	0.049	0.125	0.067	0.119	0.095	0.065	0.167	0.059	0.05	0.042	0.061	0.046	0.038
